gene_name	external_gene_name	ProductivityWhenExonIncluded	strand	Frame_of_upstream_exon	Frame_of_cassette_exon	Frame_of_downstream_exon	Coordinates_of_upstream_exon	Coordinates_of_cassette_exon	Coordinates_of_downstream_exon	dN.dS_of_upstream_exon	dN.dS_of_cassette_exon	dN.dS_of_downstream_exon	MeanPhyloP_of_upstream_exon	MeanPhyloP_of_cassette_exon	MeanPhyloP_of_downstream_exon	IsDifferentiallySpliced_in_at_least_one_contrast_in_human_and_anyNonMacaque
ENSG00000103540.17	CCP110	Productive	+	0	0	0	chr16:19535940-19537587	chr16:19532416-19532544	chr16:19527921-19528022	2.954397394136808	1.741509433962264	4.508139243676434	1.8707157	2.8159070014953613	1.535495638847351	FALSE
ENSG00000103540.17	CCP110	Productive	+	1	1	1	chr16:19551196-19551271	chr16:19548515-19548600	chr16:19547955-19548014	0.3497942386831276	1.8497109826589595	4.375	3.8416502	3.758743524551392	4.388999938964844	FALSE
ENSG00000103544.17	VPS35L	Productive	+	0	0	0	chr16:19651976-19652090	chr16:19650382-19650459	chr16:19647784-19647882	0.4663382594417077	10.6	0.5207100591715976	5.094323	5.1006669998168945	5.258000373840332	FALSE
ENSG00000005187.12	ACSM3	Productive	+	0	0	0	chr16:20796370-20796489	chr16:20792002-20792335	chr16:20790587-20790688	1.6809651474530831	1.2170068027210883	0.7635135135135135	2.4763627	2.6057966	3.213799953460694	TRUE
ENSG00000005189.20	REXO5	Productive	+	2	0	0	chr16:20825833-20825871	chr16:20824439-20824527	chr16:20821762-20821902	8.290322580645162	3.429245283018868	0.6855123674911661	1.7257518	2.5640786	2.7906668186187744	TRUE
ENSG00000005189.20	REXO5	Productive	+	2	0	0	chr16:20840331-20840468	chr16:20839755-20839859	chr16:20833003-20833123	1.9674185463659148	6.883495145631068	1.8586278586278584	1.5498761	1.3351047	1.756239	TRUE
ENSG00000005189.20	REXO5	Productive	+	0	0	0	chr16:20844629-20844845	chr16:20843934-20844026	chr16:20840331-20840468	1.8586278586278584	0.8299065420560747	1.9046483909415972	1.756239	2.3268816	1.861797332763672	FALSE
ENSG00000011638.11	LDAF1	Productive	+	0	1	1	chr16:21179475-21179556	chr16:21174010-21174148	chr16:21170437-21170605	1.080937167199148	1.2121212121212122	2.780269058295964	2.2136865	1.6003166	0.35673171281814575	TRUE
ENSG00000197006.15	METTL9	Productive	+	0	1	1	chr16:21624931-21625115	chr16:21617865-21618074	chr16:21612813-21612835	0.14285714285714285	0.4079045488441462	0.2593295382669197	6.014304	5.229057312011719	4.820892	TRUE
ENSG00000175267.15	VWA3A	Productive	+	1	0	0	chr16:22100194-22100318	chr16:22097572-22097695	chr16:22096859-22096945	7.08235294117647	2.438311688311688	2.673758865248227	0.32219544	0.8150806427001953	0.935376	FALSE
ENSG00000058600.16	POLR3E	Productive	+	0	0	0	chr16:22333644-22333700	chr16:22332060-22332185	chr16:22328510-22328587	0.6116071428571429	0.7680945347119645	0.26495726495726496	4.4814353	4.210301399230957	5.591455936431885	TRUE
ENSG00000168447.11	SCNN1B	Productive	+	2	0	0	chr16:23375738-23375855	chr16:23371776-23371883	chr16:23371299-23371462	0.5807017543859649	1.0976027397260273	4.891089108910891	3.1272562	2.603342294692993	2.6099405	FALSE
ENSG00000122257.20	RBBP6	Productive	+	0	1	1	chr16:24559505-24559677	chr16:24558421-24558534	chr16:24556308-24556447	0.37403846153846154	5.714285714285714	0.208187134502924	4.678543	3.360052585601806	4.9703646	TRUE
ENSG00000122257.20	RBBP6	Productive	+	1	1	1	chr16:24568745-24570499	chr16:24567792-24567893	chr16:24567143-24567505	2.48159509202454	0.9947643979057592	2.6170280107611963	3.584463	5.824647903442383	2.8516986	TRUE
ENSG00000090905.19	TNRC6A	Productive	+	2	2	2	chr16:24794544-24794719	chr16:24793473-24793649	chr16:24789232-24791817	3.266729352766024	8.18867924528302	0.6400817995910021	3.696189	3.6142544746398926	4.479659557342529	TRUE
ENSG00000090905.19	TNRC6A	Productive	+	2	0	0	chr16:24805014-24805151	chr16:24804705-24804851	chr16:24804177-24804319	8.623853211009175	2.982608695652174	2.579710144927536	4.2263494	4.459667205810547	5.3061089515686035	TRUE
ENSG00000158865.13	SLC5A11	Productive	+	0	0	0	chr16:24877258-24877363	chr16:24875627-24875731	chr16:24872160-24872219	0.5473251028806584	0.3877952755905512	0.43886255924170614	3.6292834	4.096685886383057	3.8359911	FALSE
ENSG00000205629.12	LCMT1	Productive	+	0	2	2	chr16:25178001-25178023	chr16:25174937-25175034	chr16:25170714-25170805	1.8220551378446117	11.56989247311828	0.34210526315789475	3.205141	3.684581756591797	1.5109999	TRUE
ENSG00000178188.16	SH2B1	Productive	+	0	1	1	chr16:28873447-28873674	chr16:28873170-28873269	chr16:28872534-28872705	6.832535885167464	8.761194029850746	1.229903536977492	4.0960636	2.2186501026153564	2.1937675	TRUE
ENSG00000169682.18	SPNS1	Productive	+	0	1	1	chr16:28982356-28982545	chr16:28981901-28982056	chr16:28981470-28981615	0.6810089020771514	1.1300345224395858	0.7726285300506879	2.4322739	3.1923205852508545	2.707316	FALSE
ENSG00000169682.18	SPNS1	Unproductive	+	2	0	0	chr16:28979155-28979244	chr16:28978946-28979028	chr16:28977908-28978044	0.7154255319148937	3.7578947368421054	0.3650416171224733	4.3047957	1.6991688013076782	4.4896336	FALSE
ENSG00000079616.14	KIF22	Productive	+	0	0	0	chr16:29805263-29805310	chr16:29805115-29805174	chr16:29804814-29805026	4.9762532981530345	1.601851851851852	1.247191011235955	1.7239484	1.2125333547592163	0.3725000321865082	FALSE
ENSG00000149932.17	TMEM219	Productive	+	0	0	0	chr16:29971408-29971532	chr16:29968025-29968254	chr16:29963416-29963589	6.642533936651584	9.255813953488373	5.337016574585635	1.4700689	1.5020259618759155	1.722864	TRUE
ENSG00000169592.15	INO80E	Productive	+	0	0	0	chr16:30005221-30005442	chr16:30001465-30001530	chr16:30000971-30001040	1.3111111111111111	4.387096774193548	8.272727272727273	2.4405143	2.800303220748902	2.0957208	FALSE
ENSG00000285043.3	NA	Productive	+	0	0	0	chr16:30055172-30055327	chr16:30054784-30054927	chr16:30053494-30053499	24	9.83157894736842	5.481927710843373	3.0540001	1.5839097499847412	1.5581474	FALSE
ENSG00000149925.22	ALDOA	Productive	+	2	0	0	chr16:30069499-30069547	chr16:30069306-30069389	chr16:30068818-30068978	1.0994397759103642	0.06657223796033994	0.2267657992565056	5.5975904	5.432666778564453	5.582531	FALSE
ENSG00000149923.14	PPP4C	Productive	+	0	0	0	chr16:30082484-30082534	chr16:30081259-30081310	chr16:30076378-30076475	1.135922330097087	27.5	0.1067193675889328	3.4798567	4.495730876922607	4.91196	TRUE
ENSG00000103549.22	RNF40	Productive	+	0	0	0	chr16:30766379-30766558	chr16:30766163-30766282	chr16:30765425-30765499	0.7635327635327636	0.2903930131004367	0.4351961950059453	3.7215865	3.858558177947998	4.175638675689697	FALSE
ENSG00000143195.13	ILDR2	Productive	-	2	2	2	chr1:166956733-166956852	chr1:166939514-166939570	chr1:166936591-166936737	0.34480903711672944	0.6571428571428571	11.754716981132075	4.5226874	5.259719371795654	4.2023916	FALSE
ENSG00000099377.14	HSD3B7	Productive	+	1	2	2	chr16:30987768-30988183	chr16:30986840-30987002	chr16:30986605-30986704	2.627388535031847	1.3166441136671176	2.8748326639892907	1.60055	2.6459999084472656	1.6548582315444946	FALSE
ENSG00000140682.19	TGFB1I1	Productive	+	2	1	1	chr16:31473835-31473977	chr16:31473682-31473734	chr16:31473441-31473556	1.8209876543209875	2.2794117647058822	0.8155619596541787	1.8196207	1.3277734518051147	2.6694684	FALSE
ENSG00000091651.9	ORC6	Productive	+	1	2	2	chr16:46696017-46696085	chr16:46695562-46695674	chr16:46693093-46693182	0.9636752136752136	5.785276073619632	4.057142857142857	3.2028222	3.0866990089416504	0.7367246747016907	FALSE
ENSG00000102910.14	LONP2	Productive	+	1	0	0	chr16:48258618-48258740	chr16:48256610-48256741	chr16:48252131-48252365	0.7535428219346888	0.1726147123088128	0.2255772646536412	4.0476255	4.821007251739502	4.662479400634766	TRUE
ENSG00000083799.18	CYLD	Productive	+	0	2	2	chr16:50776179-50776277	chr16:50775166-50775174	chr16:50754319-50754424	0.5921219822109276	1.7777777777777777	1.2993630573248407	5.0868874	2.400777578353882	3.382939577102661	TRUE
ENSG00000177200.18	CHD9	Unproductive	+	1	0	0	chr16:53226366-53226512	chr16:53223450-53223507	chr16:53222644-53222755	1.0586011342155008	3.6805555555555554	1.789762340036563	3.66808	3.4744138717651367	3.5643535	FALSE
ENSG00000087245.13	MMP2	Productive	+	0	2	2	chr16:55491801-55491956	chr16:55489651-55489824	chr16:55488662-55488716	0.18471337579617833	0.4333107650643196	5.381944444444445	4.5067635	4.570344924926758	4.971602439880371	FALSE
ENSG00000087258.17	GNAO1	Productive	+	2	0	0	chr16:56354866-56354958	chr16:56351384-56351537	chr16:56336731-56336860	8.911971830985916	8.561643835616438	0.6672384219554031	6.1049232	6.174734115600586	6.12036657333374	TRUE
ENSG00000102900.13	NUP93	Productive	+	0	2	2	chr16:56844499-56844674	chr16:56841705-56841833	chr16:56839521-56839604	0.32248062015503876	9.511111111111113	10.77777777777778	5.1934524	4.775604248046875	3.513153076171875	FALSE
ENSG00000051108.15	HERPUD1	Productive	+	0	0	0	chr16:56936687-56936817	chr16:56935401-56935475	chr16:56935235-56935312	0.7379454926624738	4.077319587628866	2.514893617021277	3.3432567	1.8574132919311523	1.3241527	TRUE
ENSG00000051108.15	HERPUD1	Productive	+	0	2	2	chr16:56942132-56942237	chr16:56939895-56940245	chr16:56936687-56936817	2.514893617021277	1.4285714285714286	2.3293768545994067	1.3241527	3.5269882678985596	2.6716034412384033	TRUE
ENSG00000087237.12	CETP	Productive	+	2	0	0	chr16:56975101-56975151	chr16:56973331-56973510	chr16:56971992-56972083	17.096774193548388	2.305927342256214	3.015625	1.1770977	1.2100389003753662	0.5008431077003479	FALSE
ENSG00000006210.7	CX3CL1	Productive	+	0	2	2	chr16:57382030-57382127	chr16:57379634-57379754	chr16:57372569-57372638	6.6521739130434785	1.6224627875507442	1.686153846153846	0.4889856	0.21485949	0.4050101339817047	FALSE
ENSG00000088682.14	COQ9	Productive	+	1	0	0	chr16:57459565-57459597	chr16:57458246-57458350	chr16:57452801-57452936	3.932795698924731	0.6039603960396039	0.6329588014981273	4.6131325	4.879361629486084	4.603817939758301	FALSE
ENSG00000159625.15	DRC7	Productive	+	0	0	0	chr16:57704876-57705034	chr16:57701936-57702130	chr16:57700145-57700270	0.830546265328874	0.946647440519106	2.214388489208633	3.4344444	3.324645757675171	1.5953269	FALSE
ENSG00000159625.15	DRC7	Productive	+	0	0	0	chr16:57727299-57727409	chr16:57726832-57726942	chr16:57726068-57726283	6.160714285714286	1.3066298342541436	1.5918918918918918	2.6001666	2.331639528274536	2.6292973	FALSE
ENSG00000103005.13	USB1	Productive	+	1	0	0	chr16:58018972-58019055	chr16:58017334-58017439	chr16:58014273-58014326	4.524590163934426	13.794117647058824	1.0859030837004404	2.8752222	3.3141603469848633	2.6304643154144287	TRUE
ENSG00000103021.10	CCDC113	Productive	+	0	0	0	chr16:58258368-58258523	chr16:58253998-58254159	chr16:58252761-58252853	2.686274509803922	2.352090032154341	1.493848857644991	1.4115055	1.429876685142517	2.3015449047088623	FALSE
ENSG00000181938.14	GINS3	Productive	+	0	0	0	chr16:58404499-58404729	chr16:58403098-58403331	chr16:58392602-58392787	8.552631578947368	0.4352278545826933	2.3109137055837565	2.1799839	4.4513421058654785	4.4316406	FALSE
ENSG00000103034.15	NDRG4	Productive	+	2	0	0	chr16:58503798-58503957	chr16:58494964-58495008	chr16:58487756-58487850	6.449438202247191	13.962962962962964	8.245398773006135	2.7766001	2.633311033248902	3.099393844604492	TRUE
ENSG00000103034.15	NDRG4	Productive	+	0	2	2	chr16:58511422-58511576	chr16:58510645-58510683	chr16:58509301-58509352	9.693877551020408	0.7733990147783252	0.3475609756097561	5.105673	5.261641502380371	4.047006607055664	FALSE
ENSG00000217555.13	CKLF	Productive	+	0	0	0	chr16:66565886-66566011	chr16:66558190-66558348	chr16:66552716-66552793	3.1921182266009853	1.441860465116279	1.328159645232816	0.6761923	1.4085722	0.7265001	TRUE
ENSG00000140932.10	CMTM2	Productive	+	0	0	0	chr16:66586997-66587098	chr16:66580026-66580184	chr16:66579608-66579892	8.170212765957446	3.1646706586826348	2.197411003236246	0.116863154	0.415496826171875	-0.06286274	FALSE
ENSG00000140931.20	CMTM3	Productive	+	0	0	0	chr16:66609883-66610003	chr16:66609435-66609530	chr16:66608420-66608464	2.1709401709401708	0.7132667617689016	0.9287833827893176	3.3518221	3.631989717483521	2.9043887	FALSE
ENSG00000067955.15	CBFB	Productive	+	0	0	0	chr16:67066682-67066798	chr16:67036639-67036755	chr16:67029727-67029813	2.142857142857143	0.3384321223709369	0.06765327695560254	4.877782	5.927863121032715	6.226539134979248	FALSE
ENSG00000125149.12	PHAF1	Productive	+	2	0	0	chr16:67131286-67131329	chr16:67125959-67126042	chr16:67120112-67120194	0.44744744744744747	0.4588235294117647	0.30303030303030304	5.745012	6.351178169250488	5.586	FALSE
ENSG00000135740.17	SLC9A5	Unproductive	+	1	0	0	chr16:67264352-67264522	chr16:67262212-67262289	chr16:67259820-67259946	0.7172330097087378	6.12	1.2198581560283688	4.387567	1.5442436933517456	3.7023804	TRUE
ENSG00000159753.15	CARMIL2	Productive	+	2	2	2	chr16:67657239-67657316	chr16:67656834-67656881	chr16:67656424-67656645	6.709677419354839	1.4210526315789471	22.615384615384617	0.9292207	1.280333399772644	0.9334743	FALSE
ENSG00000000457.14	SCYL3	Productive	-	2	2	0	chr1:169859041-169859212	chr1:169855796-169855957	chr1:169854270-169854964	4.210130391173521	7.980891719745223	1.4086589229144668	1.5443857	0.60108644	4.217377185821533	FALSE
ENSG00000102904.15	TSNAXIP1	Productive	+	0	2	2	chr16:67824583-67824779	chr16:67823626-67823719	chr16:67821099-67821225	1.1200631911532386	3.150442477876106	0.798708288482239	1.8286141	3.203585386276245	2.24202036857605	FALSE
ENSG00000103066.13	PLA2G15	Productive	+	0	1	1	chr16:68254919-68255037	chr16:68249290-68249446	chr16:68245427-68245553	4.35546875	7.795698924731183	0.6918032786885245	0.52087396	4.6608662605285645	3.825201988220215	FALSE
ENSG00000103064.15	SLC7A6	Productive	+	2	1	1	chr16:68291209-68291332	chr16:68290396-68290540	chr16:68287746-68287871	0.4466230936819172	11.333333333333334	0.7292464878671775	4.7795396	4.435214042663574	4.238080978393555	TRUE
ENSG00000132600.18	PRMT7	Productive	+	1	0	0	chr16:68329066-68329174	chr16:68324683-68324832	chr16:68321426-68321462	9.305555555555555	0.6939010356731876	0.22199383350462487	5.096432	4.948273181915283	5.0755506	FALSE
ENSG00000075945.13	KIFAP3	Unproductive	-	1	1	2	chr1:169954011-169954110	chr1:169925787-169925855	chr1:169921676-169921781	0.5503080082135524	1.7012987012987013	1.3652173913043475	2.891868	2.3282759189605713	3.6231601238250737	TRUE
ENSG00000215788.11	TNFRSF25	Productive	-	2	2	1	chr1:6463072-6463127	chr1:6462863-6462970	chr1:6462629-6462663	2.8	2.4962962962962965	3.04	0.5042571	0.7216851711273193	0.8452857	FALSE
ENSG00000141076.18	UTP4	Productive	+	0	0	0	chr16:69136696-69136887	chr16:69133458-69133618	chr16:69132596-69132689	5.761904761904762	16.941176470588236	2.604651162790698	0.62134045	3.7664036750793457	3.295729	FALSE
ENSG00000132612.17	VPS4A	Productive	+	0	1	1	chr16:69318650-69318711	chr16:69316008-69316372	chr16:69311512-69311532	2.5	8.040100250626567	2.930379746835443	3.8749523	3.6833863258361816	4.5436773	FALSE
ENSG00000132603.15	NIP7	Productive	+	0	0	0	chr16:69341533-69341652	chr16:69341180-69341320	chr16:69340276-69340332	0.3035019455252918	0.7009456264775413	3.65017667844523	4.6539297	5.3366594314575195	5.3144503	FALSE
ENSG00000103018.18	CYB5B	Productive	+	0	2	2	chr16:69462430-69462461	chr16:69448115-69448144	chr16:69447150-69447278	0.3339301700984781	3	0.52	5.025155	1.5932666	1.6519687175750732	FALSE
ENSG00000102908.23	NFAT5	Productive	+	0	2	2	chr16:69626403-69626528	chr16:69568495-69568548	chr16:69566345-69566374	0.4657534246575342	2.0952380952380953	8.95	1.7086666	2.690944194793701	5.0152697999999996	FALSE
ENSG00000102908.23	NFAT5	Unproductive	+	2	2	2	chr16:69647028-69647167	chr16:69646517-69646578	chr16:69626403-69626528	8.95	1.5338983050847457	1.3015873015873016	5.0152697999999996	7.500402927398682	4.820828914642334	FALSE
ENSG00000157349.17	DDX19B	Productive	+	2	1	1	chr16:70324585-70324687	chr16:70317496-70317588	chr16:70315969-70316104	4.546125461254612	0.25793650793650796	0.7050847457627119	4.797184	5.507214546203613	5.1119804	FALSE
ENSG00000168872.17	DDX19A	Productive	+	2	1	1	chr16:70364543-70364645	chr16:70361418-70361510	chr16:70356112-70356247	0.13914780292942744	0.10080645161290322	2.5555555555555554	4.3440886	5.034730911254883	4.9451356	TRUE
ENSG00000260537.2	NA	Unproductive	+	2	1	1	chr16:70361418-70361510	chr16:70356846-70356906	chr16:70356112-70356247	0.13914780292942744	6	0.10080645161290322	4.3440886	2.3431143760681152	5.034730911254883	FALSE
ENSG00000157353.17	FCSK	Productive	+	0	2	2	chr16:70470314-70470426	chr16:70469152-70469323	chr16:70468849-70468968	1.970059880239521	3.4735576923076925	1	4.1771417	2.0956802368164062	1.2201239	FALSE
ENSG00000189091.13	SF3B3	Unproductive	+	0	2	2	chr16:70554446-70554597	chr16:70550650-70550678	chr16:70548370-70548442	0.04155495978552279	2.7142857142857144	0.284375	6.2762194	4.499241828918457	5.699079	TRUE
ENSG00000172137.19	CALB2	Productive	+	2	0	0	chr16:71377667-71377747	chr16:71374745-71374834	chr16:71372153-71372229	3.59375	5.792079207920792	0.16237942122186494	4.9975586	4.972044467926025	5.138457	FALSE
ENSG00000172137.19	CALB2	Productive	+	0	0	0	chr16:71385577-71385648	chr16:71384339-71384836	chr16:71383970-71384025	0.09347826086956522	1.8545454545454545	0.3390894819466248	4.7482495	0.7081004977226257	4.350305557250977	FALSE
ENSG00000172137.19	CALB2	Productive	+	2	0	0	chr16:71389749-71389865	chr16:71385577-71385648	chr16:71384783-71384836	0.2634146341463415	0.3390894819466248	0.702048417132216	3.9837964	4.350305557250977	3.7050428	FALSE
ENSG00000182149.21	IST1	Productive	+	0	0	0	chr16:71924769-71924817	chr16:71923288-71923380	chr16:71922474-71922680	4.549800796812749	2.2454873646209386	2.257425742574257	3.5351598	3.6290216	2.131796	TRUE
ENSG00000182149.21	IST1	Unproductive	+	0	0	0	chr16:71924769-71924817	chr16:71924091-71924281	chr16:71923288-71923380	2.2454873646209386	8.297777777777778	2.257425742574257	3.6290216	0.3623141646385193	2.131796	FALSE
ENSG00000184517.12	ZFP1	Productive	+	0	2	2	chr16:75169253-75170334	chr16:75166770-75166896	chr16:75152952-75152966	5.909090909090909	2.6153846153846154	2.3869948069541658	1.9606665	1.6816612482070925	1.4103465	TRUE
ENSG00000034713.8	GABARAPL2	Productive	+	2	1	1	chr16:75577279-75577369	chr16:75568037-75568209	chr16:75566852-75566907	6.4125	0.46203904555314534	0.5138004246284501	5.411643	6.426728248596191	6.227187156677246	TRUE
ENSG00000103111.15	MON1B	Productive	+	0	2	2	chr16:77194335-77194625	chr16:77193451-77193777	chr16:77191486-77191633	2.572972972972973	7.155502392344498	1.7662337662337662	0.9081217	2.7500271797180176	3.641178607940674	FALSE
ENSG00000140876.11	NUDT7	Productive	+	1	0	0	chr16:77741582-77741950	chr16:77735828-77735986	chr16:77725431-77725584	5.0233463035019454	11.645714285714286	3.861728395061729	1.3479156	3.0892014503479004	1.6768157	TRUE
ENSG00000168589.15	DYNLRB2	Productive	+	0	2	2	chr16:80550515-80550558	chr16:80549484-80549651	chr16:80543276-80543351	8.022727272727273	1.2168141592920354	0.4659498207885305	4.400908	4.2583746910095215	4.755636	TRUE
ENSG00000166451.14	CENPN	Productive	+	0	2	2	chr16:81017758-81017834	chr16:81017326-81017385	chr16:81014136-81014181	7.761904761904762	2.731884057971014	9.045454545454543	1.6873478	2.061316967010498	2.1344805	FALSE
ENSG00000166451.14	CENPN	Productive	+	0	0	0	chr16:81024715-81024778	chr16:81022597-81022698	chr16:81020100-81020276	2.433931484502447	6.125925925925926	8.376146788990825	2.2439156	2.490382432937622	0.71929693	TRUE
ENSG00000086696.11	HSD17B2	Productive	+	0	2	2	chr16:82070942-82071127	chr16:82068170-82068382	chr16:82035641-82035689	3.823529411764706	1.1514408338442674	0.919917864476386	1.8506123	2.3862955570220947	3.084779739379883	FALSE
ENSG00000103154.10	NECAB2	Productive	+	0	2	2	chr16:83981030-83981127	chr16:83980839-83980864	chr16:83978545-83978552	0.2	5.071428571428571	0.3443609022556391	4.73075	4.554577350616455	4.32844877243042	FALSE
ENSG00000103154.10	NECAB2	Productive	+	0	1	1	chr16:84001825-84001916	chr16:84000724-84000801	chr16:83998205-83998317	1.009090909090909	0.9887640449438202	0.7945205479452054	2.3693893	2.9955127239227295	2.900489091873169	FALSE
ENSG00000140955.11	ADAD2	Productive	+	2	2	2	chr16:84195069-84195194	chr16:84194933-84194980	chr16:84194442-84194582	1.7941834451901566	4.947368421052632	1.5619596541786744	0.38561705	-0.5718958377838135	0.60818255	FALSE
ENSG00000103194.16	USP10	Productive	+	0	0	0	chr16:84778895-84778987	chr16:84775160-84775225	chr16:84772541-84772685	0.12002341920374708	3.4702380952380953	0.11745689655172414	5.0489726	5.0580153465271	5.6291399002075195	FALSE
ENSG00000135709.14	KIAA0513	Productive	+	2	1	1	chr16:85086644-85086724	chr16:85081315-85081392	chr16:85078925-85079003	3.1936936936936937	0.11706783369803064	0.6951219512195121	4.33481	5.085154	5.3913455	TRUE
ENSG00000131149.19	GSE1	Productive	+	0	2	2	chr16:85648552-85648751	chr16:85633914-85634132	chr16:85613392-85613398	Inf	4.672862453531598	0.5860428231562252	1.3592857	4.873657703399658	5.0391498	FALSE
ENSG00000131149.19	GSE1	Productive	+	0	2	2	chr16:85665976-85666347	chr16:85665015-85665128	chr16:85663366-85663614	1.9625	2.0385756676557865	1.278014184397163	4.0936184	2.248903512954712	2.8749678	TRUE
ENSG00000172530.22	BANP	Productive	+	0	1	1	chr16:88006090-88006265	chr16:88004295-88004411	chr16:87984084-87984259	0.16892230576441103	2.0809061488673137	0.6633333333333333	4.5307555	3.7222394943237305	4.2462273	TRUE
ENSG00000172530.22	BANP	Productive	+	0	0	0	chr16:88072069-88072212	chr16:88065267-88065332	chr16:88037973-88038011	0.6810810810810811	3.8333333333333335	0.43109801031687545	3.1052818	0.2111363708972931	3.7563891	FALSE
ENSG00000158545.16	ZC3H18	Productive	+	0	2	2	chr16:88598178-88598326	chr16:88587542-88587613	chr16:88586600-88586684	0.21850079744816583	7.448979591836735	0.2317880794701987	5.753682	1.7994028329849243	5.0684624	TRUE
ENSG00000176715.17	ACSF3	Productive	+	2	1	1	chr16:89120801-89120913	chr16:89114339-89114487	chr16:89112092-89112246	12.397435897435898	0.6020170674941815	1.256953642384106	3.2837224	3.918905973434448	1.9812833	TRUE
ENSG00000185324.22	CDK10	Productive	+	0	2	2	chr16:89690553-89690624	chr16:89689252-89689324	chr16:89686711-89686797	3.5	13.9	0.2130841121495327	0.97143686	5.104151248931885	5.0454164	TRUE
ENSG00000141002.20	TCF25	Productive	+	0	1	1	chr16:89892193-89892275	chr16:89887652-89887717	chr16:89885848-89885966	1.6222222222222222	18.974358974358974	0.723826714801444	1.5390925	4.722105979919434	3.172024	FALSE
ENSG00000181031.16	RPH3AL	Productive	-	0	0	1	chr17:319420-319549	chr17:281768-281854	chr17:247267-247285	0	1.9583333333333333	0.5193929173693086	3.496105	4.079299449920654	3.2946923	FALSE
ENSG00000141252.21	VPS53	Productive	-	0	0	1	chr17:623533-623674	chr17:601795-601896	chr17:586270-586364	0.08529048207663782	1.0864197530864197	0.2143335565974548	5.7784724	2.2593233585357666	4.785028	TRUE
ENSG00000141252.21	VPS53	Productive	-	0	0	1	chr17:697418-697484	chr17:661809-661895	chr17:655838-655953	0.00348675034867503	0.01538461538461538	0.01674641148325359	5.5581813	5.907540798187256	3.1941345	TRUE
ENSG00000167699.14	GLOD4	Productive	-	0	0	0	chr17:770421-770507	chr17:769869-770157	chr17:760188-760238	0.5590062111801242	1.031	2.517857142857143	4.1107454	3.261301040649414	4.048770427703857	FALSE
ENSG00000167699.14	GLOD4	Productive	-	0	0	2	chr17:771325-771461	chr17:770421-770507	chr17:770044-770157	0.24146757679180889	2.517857142857143	0.42665773610180846	4.4816318	4.048770427703857	3.7438684	FALSE
ENSG00000167693.17	NXN	Productive	-	2	2	0	chr17:819439-819511	chr17:805068-805247	chr17:803682-803806	0.6546762589928058	4.633858267716535	0.08213820078226858	4.861431	5.244750499725342	5.2624245	FALSE
ENSG00000159842.16	ABR	Productive	-	2	2	1	chr17:1056998-1057102	chr17:1056035-1056109	chr17:1050537-1050634	17.41304347826087	38.94117647058823	9.8	5.057765	4.1593732833862305	4.8038	FALSE
ENSG00000159842.16	ABR	Productive	-	0	0	0	chr17:1125183-1125290	chr17:1100637-1100735	chr17:1091799-1091850	0.6606498194945848	0.9164785553047404	0.5059588299024919	5.4501348	4.566585540771484	4.0840373	TRUE
ENSG00000132376.20	INPP5K	Productive	-	0	0	1	chr17:1513872-1513979	chr17:1513453-1513561	chr17:1509683-1509799	1.055944055944056	1.7369519832985387	2.68640350877193	3.677889	2.820779800415039	2.766185	TRUE
ENSG00000174238.16	PITPNA	Productive	-	0	0	0	chr17:1548296-1548365	chr17:1543020-1543027	chr17:1541587-1541640	0.27564102564102566	Inf	0.0921595598349381	6.047093	4.436750411987305	5.2008715	FALSE
ENSG00000174238.16	PITPNA	Productive	-	0	0	0	chr17:1562541-1562560	chr17:1558529-1558559	chr17:1553004-1553149	0.4153225806451613	4.466666666666667	6.2	5.7035413	5.110645294189453	1.7429998	FALSE
ENSG00000167703.15	SLC43A2	Productive	-	2	2	2	chr17:1590802-1590948	chr17:1586949-1586960	chr17:1585913-1586051	7.287769784172662	Inf	4.362934362934363	4.0730357	2.3463332653045654	4.392728	TRUE
ENSG00000167705.12	RILP	Productive	-	1	1	1	chr17:1647835-1647957	chr17:1646906-1646989	chr17:1646442-1646619	3.6421471172962225	1.9583333333333333	1.4132762312633833	0.2776124	0.9803094267845154	1.6917886	TRUE
ENSG00000174231.18	PRPF8	Productive	-	0	0	0	chr17:1678762-1678881	chr17:1678518-1678652	chr17:1677565-1677694	4.75	0.03266596417281348	72	5.7427387	5.961637496948242	5.4548583	FALSE
ENSG00000143207.21	COP1	Productive	-	0	0	0	chr1:176149006-176149074	chr1:176136488-176136547	chr1:176135010-176135086	77	0.02702702702702703	8.083333333333334	4.433285	4.4236836433410645	4.4128265	TRUE
ENSG00000127804.13	METTL16	Productive	-	2	2	1	chr17:2477686-2477885	chr17:2473524-2473664	chr17:2467761-2467876	0.3273381294964029	0.1004016064257028	1.6799007444168734	5.6572843	5.566510200500488	4.295505	TRUE
ENSG00000141255.13	SPATA22	Productive	-	2	2	0	chr17:3469283-3469325	chr17:3467426-3467554	chr17:3462707-3462767	4.414414414414415	1.274590163934426	5	1.3948852	2.5479068756103516	2.5093956	FALSE
ENSG00000197417.9	SHPK	Unproductive	-	1	1	1	chr17:3623339-3623491	chr17:3622544-3622632	chr17:3621237-3621412	0.8365102639296188	8.839285714285714	0.6616961789375583	3.349591	1.1029775142669678	3.9653273000000002	FALSE
